Week No,Date,Time,Temperature (0C),Humidity(%),Soil Moisture level1,Soil Moisture level2,Motor On/Off,
12th Week,6/12/2023,09.00 a.m.,35,75,1,0,On,
,,06.00 p.m.,34,75,1,0,On,
,6/13/2023,07.30 a.m.,33,74,1,1,Off,
,,06.30 p.m.,31,76,1,1,Off,
,6/14/2023,08.10 a.m.,35,75,0,1,On,
,,06.15 p.m.,35,75,0,0,On,
,6/15/2023,08.15 a.m.,35,79,0,1,On,
,,06.00 p.m.,29,80,0,1,On,
,6/16/2023,08.20 a.m.,34,72,1,0,On,
,,06.00 p.m.,32,75,0,0,On,
,6/17/2023,07.30 a.m.,33,74,0,1,On,
,,06.00 p.m.,34,76,1,1,Off,
,6/18/2023,08.30 a.m.,31,76,1,0,On,
,,06.15 p.m.,34,78,0,1,On,
,6/19/2023,08.15 a.m.,32,78,0,1,On,
,,06.00 p.m.,34,79,0,0,On,
